930245:14025129|0,0,4,1,2,0,0,1,1,1,0,0,0,2,4,0,0,0,3,8,0,0,0,0,0
930245:12450985|0,0,1,1,6,0,0,1,4,4,0,0,0,4,2,0,0,1,5,6,0,0,1,1,2
930245:12451024|0,2,3,8,3,0,1,5,14,11,0,0,4,10,10,0,0,2,1,11,0,0,1,0,0
930245:12450986|0,1,3,1,1,0,1,1,1,0,1,1,1,3,2,4,1,2,0,1,0,0,0,0,0
930245:12450941|0,1,4,3,0,0,1,2,2,7,0,0,2,0,3,0,1,3,4,5,0,0,0,0,2
930245:14025209|1,2,2,0,0,3,8,4,2,2,3,3,3,4,3,2,3,1,2,0,0,0,0,0,0
930245:14572678|0,2,3,9,8,0,0,0,2,9,0,0,0,2,2,0,0,0,1,4,0,0,0,0,2
930245:15632053|1,1,4,0,2,1,0,1,3,2,4,1,4,1,1,3,1,2,1,1,0,0,1,0,0
930245:14025172|0,0,3,1,6,0,0,0,2,12,0,0,0,4,2,0,0,0,1,7,0,0,3,0,4
930245:14598940|0,0,1,4,1,0,0,2,0,18,0,0,1,6,8,0,0,1,0,4,0,0,1,0,0
930245:14025281|0,0,1,3,0,0,0,1,1,1,0,0,2,1,1,0,1,0,2,3,0,1,0,1,0
930245:15632638|1,3,2,1,0,14,2,1,5,5,3,2,2,2,0,0,2,0,0,1,0,0,0,0,0
930245:14025249|0,0,0,0,3,0,0,2,2,2,0,0,2,1,1,0,0,0,0,2,0,0,2,1,4
930245:14572679|0,0,3,5,1,0,0,3,1,2,0,3,1,1,9,0,0,0,1,2,0,1,0,0,0
930245:14023991|2,3,5,1,0,5,7,3,2,0,0,1,4,4,0,3,1,1,0,0,0,0,3,0,0
930245:14025181|0,0,0,3,7,0,0,0,4,7,1,0,0,0,14,0,0,0,0,4,0,0,0,2,4
930245:14025091|4,2,0,0,0,12,2,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0
930245:14572642|0,0,1,3,4,0,0,1,5,7,0,0,3,6,6,0,0,0,3,1,0,0,0,0,2
930245:14572811|0,0,5,8,4,0,1,0,1,12,0,2,1,2,2,0,0,1,2,6,0,0,0,0,0
930245:14572748|0,0,2,3,8,0,1,0,1,17,0,0,1,6,3,0,0,0,2,3,0,0,0,0,5
930245:15632045|2,4,5,1,1,13,11,9,7,4,2,1,1,3,0,5,1,2,0,1,0,0,0,0,0
930245:15380228|1,3,2,1,0,27,14,5,2,0,7,5,0,2,0,0,1,0,0,0,0,1,0,0,0
930245:12450958|4,8,3,3,0,3,1,5,2,5,0,2,5,2,1,0,0,0,2,0,0,0,1,0,0
996919:14059540|0,0,1,0,3,2,0,3,1,6,0,1,0,1,1,1,0,2,3,2,1,1,2,1,0
996919:14059742|0,0,0,4,9,0,0,0,5,10,0,0,0,2,6,0,0,0,5,9,0,0,0,2,0
996919:14059814|1,5,0,0,1,1,1,0,0,0,8,0,0,0,0,4,0,0,0,0,2,2,0,0,0
996919:14059612|0,0,2,0,8,1,3,0,2,15,0,0,0,4,3,0,0,0,2,5,0,0,0,0,3
996919:14059787|14,1,3,1,3,14,4,2,1,1,4,2,0,0,0,9,4,0,0,0,5,0,3,0,0
996919:13981677|2,0,0,0,0,3,1,1,0,1,3,1,1,0,0,1,2,2,0,0,1,0,0,0,0
996919:14059690|0,0,1,2,11,0,0,1,4,10,0,0,1,0,16,0,0,1,2,5,0,0,0,4,0
996919:14059778|8,2,1,0,0,13,4,3,0,0,6,2,1,0,0,14,4,1,0,0,2,1,0,0,0
996919:14059617|0,0,2,3,6,0,0,0,5,10,1,0,0,7,15,0,1,0,2,8,0,0,0,4,1
996919:14059552|2,1,1,1,2,3,0,0,1,3,0,0,2,2,1,6,0,0,4,10,0,1,1,2,4
996919:14059585|0,0,1,1,2,0,0,1,8,13,0,0,1,1,2,0,0,0,1,3,0,0,0,1,1
996919:14059576|0,0,1,5,4,1,0,0,9,4,0,0,0,0,5,0,0,2,3,11,0,0,1,0,3
996919:14059594|0,1,1,3,2,0,0,4,11,5,0,0,1,2,3,0,0,2,2,4,0,0,0,1,3
996919:14059671|0,0,2,2,3,0,0,1,5,14,0,0,2,1,4,0,0,0,0,2,0,0,0,0,0
996919:14059752|0,0,2,2,4,0,0,1,3,3,0,3,0,0,10,0,0,0,3,3,0,0,1,2,4
